id_plt,id_cohort,id_axis,N_phytomer,HS_final,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
112,6,T3,8,5.58821692224,1210.0,1810.0,6060,608,NA,602.214125899,759.466553246,946.203810721,1241.052112
112,7,T1.1,8,8.0,NA,NA,7081,708,1.0,397.998170236,593.244263753,825.098999804,1191.18542515
112,10,T1.1.1,6,5.52037935447,1369.0,1969.0,10060,1006,NA,582.557572481,792.22747561,1154.09931717,1547.23038554
112,10,T1.4,6,5.47528104414,1369.0,1969.0,10060,1006,NA,582.557572481,792.22747561,1154.09931717,1547.23038554
112,10,T2.3,6,5.46855704302,1368.0,1968.0,10060,1006,NA,582.557572481,792.22747561,1154.09931717,1547.23038554
112,10,T7,6,5.39686745057,1368.0,1968.0,10060,1006,NA,582.557572481,792.22747561,1154.09931717,1547.23038554
113,1,MS,12,12.0,NA,NA,1121,112,1.0,173.97900243,335.416040433,659.583308583,962.277754839
113,4,T1,9,9.0,NA,NA,4091,409,1.0,403.983177945,577.535261072,783.628359784,1109.03851565
113,5,T2,9,5.88611429168,1175.0,1775.0,5060,509,NA,606.616064185,746.395999604,912.384672915,1174.47205183
113,6,T1.0,8,6.05419318436,1230.0,1830.0,6070,608,NA,600.063879712,757.316307059,944.053564534,1238.90186581
113,10,T2.3,6,5.56269305872,1382.0,1982.0,10060,1006,NA,580.407326294,790.077229423,1151.94907099,1545.08013935
113,10,T7,6,5.50370204946,1382.0,1982.0,10060,1006,NA,580.407326294,790.077229423,1151.94907099,1545.08013935
114,1,MS,12,12.0,NA,NA,1121,112,1.0,174.012366974,335.449404977,659.616673127,962.311119383
114,4,T1,9,9.0,NA,NA,4091,409,1.0,404.016542489,577.568625615,783.661724328,1109.07188019
114,5,T2,9,5.87466772752,1174.0,1774.0,5060,509,NA,606.649428729,746.429364148,912.418037459,1174.50541637
114,6,T1.0,8,6.05419318436,1230.0,1830.0,6070,608,NA,600.097244256,757.349671603,944.086929078,1238.93523035
114,6,T3,8,5.78153667261,1229.0,1829.0,6060,608,NA,600.097244256,757.349671603,944.086929078,1238.93523035
114,7,T1.1,8,8.0,NA,NA,7081,708,1.0,395.881288593,591.12738211,822.982118161,1189.06854351
114,7,T2.0,8,8.0,NA,NA,7081,708,1.0,395.881288593,591.12738211,822.982118161,1189.06854351
114,7,T4,8,8.0,NA,NA,7081,708,1.0,395.881288593,591.12738211,822.982118161,1189.06854351
114,10,T1.1.1,6,5.59413243061,1381.0,1981.0,10060,1006,NA,580.440690837,790.110593967,1151.98243553,1545.1135039
114,10,T1.4,6,5.5559690576,1381.0,1981.0,10060,1006,NA,580.440690837,790.110593967,1151.98243553,1545.1135039
114,10,T2.0.1,5,4.98444673359,1444.0,2044.0,10050,1005,NA,564.715448103,816.319331858,1517.47250501,1989.22978705
114,10,T2.3,6,5.5559690576,1381.0,1981.0,10060,1006,NA,580.440690837,790.110593967,1151.98243553,1545.1135039
114,10,T7,5,4.97432971576,1443.0,2043.0,10050,1005,NA,564.715448103,816.319331858,1517.47250501,1989.22978705
115,1,MS,13,13.0,NA,NA,1131,113,1.0,186.28476556,335.30560935,661.920493399,941.354174472
115,4,T1,10,10.0,NA,NA,4101,410,1.0,418.157642132,574.354516946,759.838305787,1052.70744606
115,5,T2,10,5.43362578798,1088.0,1688.0,5060,510,NA,619.524072832,745.32601471,894.71582069,1130.59446171
115,6,T3,8,5.08965546076,1161.0,1761.0,6060,608,NA,607.730140781,764.982568128,951.719825603,1246.56812688
115,7,T1.1,8,8.0,NA,NA,7081,708,1.0,403.514185118,598.760278635,830.615014687,1196.70144003
116,1,MS,12,12.0,NA,NA,1121,112,1.0,175.700452631,337.137490634,661.304758785,963.99920504
116,4,T1,9,9.0,NA,NA,4091,409,1.0,405.704628147,579.256711273,785.349809986,1110.75996585
116,5,T2,8,5.64926526446,1216.0,1816.0,5060,508,NA,601.785329914,759.037757261,945.775014735,1240.62331601
116,6,T1.0,8,5.91971316193,1215.0,1815.0,6060,608,NA,601.785329914,759.037757261,945.775014735,1240.62331601
116,10,T1.4,5,4.97738093927,1443.0,2043.0,10050,1005,NA,566.40353376,818.007417516,1519.16059066,1990.91787271
116,10,T7,6,5.42739162168,1372.0,1972.0,10060,1006,NA,582.128776495,791.798679625,1153.67052119,1546.80158955
117,1,MS,12,12.0,NA,NA,1121,112,1.0,169.384696896,330.821734899,654.989003049,957.683449305
117,4,T1,9,9.0,NA,NA,4091,409,1.0,399.388872411,572.940955537,779.03405425,1104.44421011
117,5,T2,8,6.21904979187,1272.0,1872.0,5070,508,NA,595.469574178,752.722001525,939.459259,1234.30756028
117,6,T3,8,6.21904979187,1272.0,1872.0,6070,608,NA,595.469574178,752.722001525,939.459259,1234.30756028
117,7,T2.0,7,7.0,NA,NA,7071,707,1.0,380.794006362,603.932398953,868.909240154,1287.29372626
117,10,T2.0.1,6,5.72934640352,1403.0,2003.0,10060,1006,NA,575.813020759,785.482923889,1147.35476545,1540.48583382
117,10,T3.2,6,5.60542689901,1403.0,2003.0,10060,1006,NA,575.813020759,785.482923889,1147.35476545,1540.48583382
118,1,MS,13,13.0,NA,NA,1131,113,1.0,181.393090457,330.413934246,657.028818296,936.462499369
118,4,T1,10,10.0,NA,NA,4101,410,1.0,413.265967029,569.462841842,754.946630684,1047.81577096
118,6,T1.0,9,5.94357118774,1144.0,1744.0,6060,609,NA,609.390650151,749.170585571,915.159258881,1177.24663779
118,6,T3,9,5.53127080252,1144.0,1744.0,6060,609,NA,609.390650151,749.170585571,915.159258881,1177.24663779
118,7,T1.1,9,9.0,NA,NA,7091,709,1.0,406.757763911,580.309847038,786.40294575,1111.81310161
118,7,T4,8,8.0,NA,NA,7081,708,1.0,398.622510015,593.868603532,825.723339583,1191.80976493
118,10,T1.0.2,6,5.37397432224,1365.0,1965.0,10060,1006,NA,583.18191226,792.851815389,1154.72365695,1547.85472532
118,10,T1.1.1,7,5.82378491588,1283.0,1883.0,10060,1007,NA,594.414228499,774.131288324,990.97731184,1327.94679901
118,10,T1.4,7,5.70534177101,1282.0,1882.0,10060,1007,NA,594.414228499,774.131288324,990.97731184,1327.94679901
118,10,T3.2,7,5.27479811396,1282.0,1882.0,10060,1007,NA,594.414228499,774.131288324,990.97731184,1327.94679901
118,10,T4.1,7,5.70534177101,1282.0,1882.0,10060,1007,NA,594.414228499,774.131288324,990.97731184,1327.94679901
119,1,MS,12,12.0,NA,NA,1121,112,1.0,181.461332482,342.898370485,667.065638636,969.760084891
119,4,T1,9,9.0,NA,NA,4091,409,1.0,411.465507998,585.017591124,791.110689836,1116.5208457
