treatment	variety	year	bloc	volume	concentration	plant	leaf	absorbance	dilution
T1	Rht3	2011	1	40	240	11	F3	0,218	2
T1	Rht3	2011	1	40	240	11	F4	0,111	2
T1	Rht3	2011	1	40	240	12	F1	0,754	2
T1	Rht3	2011	1	40	240	12	F2	0,533	2
T1	Rht3	2011	1	40	240	12	F3	0,409	2
T1	Rht3	2011	1	40	240	13	F1	0,438	2
T1	Rht3	2011	1	40	240	13	F2	0,238	2
T1	Rht3	2011	1	40	240	13	F3	0,202	2
T1	Rht3	2011	1	40	240	14	F1	0,783	2
T1	Rht3	2011	1	40	240	14	F2	0,678	2
T1	Rht3	2011	1	40	240	14	F3	0,548	2
T1	Rht3	2011	1	40	240	14	F4	0,335	2
T1	Rht3	2011	1	40	240	15	F1	0,294	2
T1	Rht3	2011	1	40	240	15	F2	0,528	2
T1	Rht3	2011	1	40	240	15	F3	0,323	2
T1	Rht3	2011	1	40	240	15	F4	0,143	2
T1	Rht3	2011	1	40	240	16	F1	0,715	2
T1	Rht3	2011	1	40	240	16	F2	0,762	2
T1	Rht3	2011	1	40	240	16	F3	0,965	2
T1	Rht3	2011	1	40	240	17	F1	0,582	2
T1	Rht3	2011	1	40	240	17	F2	0,696	2
T1	Rht3	2011	1	40	240	17	F3	0,508	2
T1	Rht3	2011	1	40	240	18	F1	0,488	2
T1	Rht3	2011	1	40	240	18	F2	0,402	2
T1	Rht3	2011	1	40	240	18	F3	0,324	2
T1	Rht3	2011	1	40	240	19	F1	0,46	2
T1	Rht3	2011	1	40	240	19	F2	0,387	2
T1	Rht3	2011	1	40	240	19	F3	0,341	2
T1	Rht3	2011	1	40	240	20	F1	0,494	2
T1	Rht3	2011	1	40	240	20	F2	0,659	2
T1	Rht3	2011	1	40	240	20	F3	0,374	2
T1	Rht3	2011	1	80	240	1	F1	0,755	2
T1	Rht3	2011	1	80	240	1	F2	0,571	2
T1	Rht3	2011	1	80	240	1	F3	0,423	2
T1	Rht3	2011	1	80	240	2	F1	0,49	2
T1	Rht3	2011	1	80	240	2	F2	0,809	2
T1	Rht3	2011	1	80	240	2	F3	0,326	2
T1	Rht3	2011	1	80	240	3	F1	0,997	2
T1	Rht3	2011	1	80	240	3	F2	0,978	4
T1	Rht3	2011	1	80	240	3	F3	0,646	2
T1	Rht3	2011	1	80	240	4	F1	0,43	2
T1	Rht3	2011	1	80	240	4	F2	0,82	2
T1	Rht3	2011	1	80	240	4	F3	0,883	2
T1	Rht3	2011	1	80	240	5	F1	0,797	2
T1	Rht3	2011	1	80	240	5	F2	0,638	4
T1	Rht3	2011	1	80	240	5	F3	0,428	2
T1	Rht3	2011	1	80	240	6	F1	0,497	2
T1	Rht3	2011	1	80	240	6	F2	0,889	2
T1	Rht3	2011	1	80	240	6	F3	0,441	2
T1	Rht3	2011	1	80	240	7	F1	0,895	2
T1	Rht3	2011	1	80	240	7	F2	0,394	2
T1	Rht3	2011	1	80	240	7	F3	0,888	2
T1	Rht3	2011	1	80	240	7	F4	0,379	2
T1	Rht3	2011	1	80	240	8	F1	0,296	2
T1	Rht3	2011	1	80	240	8	F2	0,634	2
T1	Rht3	2011	1	80	240	8	F3	0,665	2
T1	Rht3	2011	1	80	240	9	F1	0,376	2
T1	Rht3	2011	1	80	240	9	F2	0,436	8
T1	Rht3	2011	1	80	240	9	F3	0,733	2
T1	Rht3	2011	1	80	240	10	F1	0,77	8
T1	Rht3	2011	1	80	240	10	F2	0,421	8
T1	Rht3	2011	1	80	240	10	F3	0,529	4
T1	Rht3	2011	1	80	240	10	F4	0,724	2
T1	Rht3	2011	1	80	240	11	F1	0,747	2
T1	Rht3	2011	1	80	240	11	F2	0,524	4
T1	Rht3	2011	1	80	240	11	F3	0,589	2
T1	Rht3	2011	1	80	240	12	F1	0,588	2
T1	Rht3	2011	1	80	240	12	F2	0,694	2
T1	Rht3	2011	1	80	240	12	F3	0,816	2
T1	Rht3	2011	1	80	240	13	F1	0,434	8
T1	Rht3	2011	1	80	240	13	F2	0,524	4
T1	Rht3	2011	1	80	240	13	F3	0,705	2
T1	Rht3	2011	1	80	240	14	F1	0,93	2
T1	Rht3	2011	1	80	240	14	F2	0,484	8
T1	Rht3	2011	1	80	240	14	F3	0,57	2
T1	Rht3	2011	1	80	240	15	F1	0,463	2
T1	Rht3	2011	1	80	240	15	F2	0,74	2
T1	Rht3	2011	1	80	240	15	F3	0,596	2
T1	Rht3	2011	1	80	240	16	F1	0,441	4
T1	Rht3	2011	1	80	240	16	F2	0,58	4
T1	Rht3	2011	1	80	240	16	F3	0,391	2
T1	Rht3	2011	1	80	240	17	F1	0,634	2
T1	Rht3	2011	1	80	240	17	F2	0,928	2
T1	Rht3	2011	1	80	240	17	F3	0,64	2
T1	Rht3	2011	1	80	240	18	F1	0,57	2
T1	Rht3	2011	1	80	240	18	F2	0,566	4
T1	Rht3	2011	1	80	240	18	F3	0,6	2
T1	Rht3	2011	1	80	240	19	F1	0,501	2
T1	Rht3	2011	1	80	240	19	F2	0,542	4
T1	Rht3	2011	1	80	240	19	F3	0,823	2
T1	Rht3	2011	1	80	240	20	F1	0,582	2
T1	Rht3	2011	1	80	240	20	F2	0,681	2
T1	Rht3	2011	1	80	240	20	F3	0,782	2
T1	Rht3	2011	1	150	240	1	F1	0,635	4
T1	Rht3	2011	1	150	240	1	F2	0,542	2
T1	Rht3	2011	1	150	240	1	F3	0,703	4
T1	Rht3	2011	1	150	240	1	F4	0,324	2
T1	Rht3	2011	1	150	240	2	F1	0,991	4
T1	Rht3	2011	1	150	240	2	F2	0,891	8
T1	Rht3	2011	1	150	240	2	F3	0,464	8
T1	Rht3	2011	1	150	240	3	F1	0,589	20
T1	Rht3	2011	1	150	240	3	F2	0,585	20
T1	Rht3	2011	1	150	240	3	F3	0,599	8
T1	Rht3	2011	1	150	240	4	F1	0,686	8
T1	Rht3	2011	1	150	240	4	F2	0,919	8
T1	Rht3	2011	1	150	240	4	F3	0,366	8
T1	Rht3	2011	1	150	240	5	F1	0,837	2
T1	Rht3	2011	1	150	240	5	F2	0,597	8
T1	Rht3	2011	1	150	240	5	F3	0,612	2
T1	Rht3	2011	1	150	240	6	F1	0,334	8
T1	Rht3	2011	1	150	240	6	F2	0,548	8
T1	Rht3	2011	1	150	240	6	F3	0,474	8
T1	Rht3	2011	1	150	240	7	F1	0,716	8
T1	Rht3	2011	1	150	240	7	F2	0,635	16
T1	Rht3	2011	1	150	240	7	F3	0,751	2
T1	Rht3	2011	1	150	240	8	F1	0,528	8
T1	Rht3	2011	1	150	240	8	F2	0,294	8
T1	Rht3	2011	1	150	240	8	F3	0,817	2
T1	Rht3	2011	1	150	240	9	F1	0,498	2
T1	Rht3	2011	1	150	240	9	F2	0,768	4
T1	Rht3	2011	1	150	240	9	F3	0,688	8
T1	Rht3	2011	1	150	240	9	F4	0,551	2
T1	Rht3	2011	1	150	240	10	F1	0,412	2
T1	Rht3	2011	1	150	240	10	F2	0,487	2
T1	Rht3	2011	1	150	240	10	F3	0,826	2
T1	Rht3	2011	1	150	240	10	F4	0,937	2
T1	Rht3	2011	1	150	240	11	F1	0,753	2
T1	Rht3	2011	1	150	240	11	F2	0,844	16
T1	Rht3	2011	1	150	240	11	F3	0,508	20
T1	Rht3	2011	1	150	240	12	F1	0,562	16
T1	Rht3	2011	1	150	240	12	F2	0,425	20
T1	Rht3	2011	1	150	240	12	F3	0,33	8
T1	Rht3	2011	1	150	240	13	F1	0,461	4
T1	Rht3	2011	1	150	240	13	F2	0,668	8
T1	Rht3	2011	1	150	240	13	F3	0,549	4
T1	Rht3	2011	1	150	240	13	F4	0,661	4
T1	Rht3	2011	1	150	240	14	F1	0,528	4
T1	Rht3	2011	1	150	240	14	F2	0,649	8
T1	Rht3	2011	1	150	240	14	F3	0,484	4
T1	Rht3	2011	1	150	240	15	F1	0,571	8
T1	Rht3	2011	1	150	240	15	F2	0,811	8
T1	Rht3	2011	1	150	240	15	F3	0,576	8
T1	Rht3	2011	1	150	240	16	F1	0,586	4
T1	Rht3	2011	1	150	240	16	F2	0,61	4
T1	Rht3	2011	1	150	240	16	F3	0,435	4
T1	Rht3	2011	1	150	240	17	F1	0,695	2
T1	Rht3	2011	1	150	240	17	F2	0,541	8
T1	Rht3	2011	1	150	240	17	F3	0,46	4
T1	Rht3	2011	1	150	240	18	F1	0,523	8
T1	Rht3	2011	1	150	240	18	F2	0,532	8
T1	Rht3	2011	1	150	240	18	F3	0,552	8
T1	Rht3	2011	1	150	240	18	F4	0,872	2
T1	Rht3	2011	1	150	240	19	F1	0,681	2
T1	Rht3	2011	1	150	240	19	F2	0,451	8
T1	Rht3	2011	1	150	240	19	F3	0,408	8
T1	Rht3	2011	1	150	240	20	F1	0,314	8
T1	Rht3	2011	1	150	240	20	F2	0,297	8
T1	Rht3	2011	1	150	240	20	F3	0,427	8
T1	Rht3	2011	1	200	240	1	F1	0,603	8
T1	Rht3	2011	1	200	240	1	F2	0,607	8
T1	Rht3	2011	1	200	240	1	F3	0,298	8
T1	Rht3	2011	1	200	240	1	F4	0,513	2
T1	Rht3	2011	1	200	240	2	F1	0,369	2
T1	Rht3	2011	1	200	240	2	F2	0,318	8
T1	Rht3	2011	1	200	240	2	F3	0,934	8
T1	Rht3	2011	1	200	240	2	F4	0,584	4
T1	Rht3	2011	1	200	240	3	F1	0,376	8
T1	Rht3	2011	1	200	240	3	F2	0,666	8
T1	Rht3	2011	1	200	240	3	F3	0,481	4
T1	Rht3	2011	1	200	240	4	F1	0,453	8
T1	Rht3	2011	1	200	240	4	F2	0,596	16
T1	Rht3	2011	1	200	240	4	F3	0,464	8
T1	Rht3	2011	1	200	240	5	F1	0,645	16
T1	Rht3	2011	1	200	240	5	F2	0,591	32
T1	Rht3	2011	1	200	240	5	F3	0,5	20
T1	Rht3	2011	1	200	240	6	F1	0,341	8
T1	Rht3	2011	1	200	240	6	F2	0,544	8
T1	Rht3	2011	1	200	240	6	F3	0,667	8
T1	Rht3	2011	1	200	240	7	F1	0,621	8
T1	Rht3	2011	1	200	240	7	F2	0,903	8
