treatment	variety	year	bloc	volume	concentration	plant	leaf	absorbance	dilution	coef
T1	Rht3	2011	1	40	240	10	F1	0,973	2	0,0448
T1	Rht3	2011	1	40	240	10	F2	0,653	4	0,0448
T1	Rht3	2011	1	40	240	10	F3	0,644	2	0,0448
T1	Rht3	2011	1	40	240	11	F1	0,269	2	0,0448
T1	Rht3	2011	1	40	240	11	F2	0,278	2	0,0448
T1	Rht3	2011	1	40	240	11	F3	0,218	2	0,0448
T1	Rht3	2011	1	40	240	11	F4	0,111	2	0,0448
T1	Rht3	2011	1	40	240	12	F1	0,754	2	0,0448
T1	Rht3	2011	1	40	240	12	F2	0,533	2	0,0448
T1	Rht3	2011	1	40	240	12	F3	0,409	2	0,0448
T1	Rht3	2011	1	40	240	13	F1	0,438	2	0,0448
T1	Rht3	2011	1	40	240	13	F2	0,238	2	0,0448
T1	Rht3	2011	1	40	240	13	F3	0,202	2	0,0448
T1	Rht3	2011	1	40	240	14	F1	0,783	2	0,0448
T1	Rht3	2011	1	40	240	14	F2	0,678	2	0,0448
T1	Rht3	2011	1	40	240	14	F3	0,548	2	0,0448
T1	Rht3	2011	1	40	240	14	F4	0,335	2	0,0448
T1	Rht3	2011	1	40	240	15	F1	0,294	2	0,0448
T1	Rht3	2011	1	40	240	15	F2	0,528	2	0,0448
T1	Rht3	2011	1	40	240	15	F3	0,323	2	0,0448
T1	Rht3	2011	1	40	240	15	F4	0,143	2	0,0448
T1	Rht3	2011	1	40	240	16	F1	0,715	2	0,0448
T1	Rht3	2011	1	40	240	16	F2	0,762	2	0,0448
T1	Rht3	2011	1	40	240	16	F3	0,965	2	0,0448
T1	Rht3	2011	1	40	240	17	F1	0,582	2	0,0448
T1	Rht3	2011	1	40	240	17	F2	0,696	2	0,0448
T1	Rht3	2011	1	40	240	17	F3	0,508	2	0,0448
T1	Rht3	2011	1	40	240	18	F1	0,488	2	0,0448
T1	Rht3	2011	1	40	240	18	F2	0,402	2	0,0448
T1	Rht3	2011	1	40	240	18	F3	0,324	2	0,0448
T1	Rht3	2011	1	40	240	19	F1	0,46	2	0,0448
T1	Rht3	2011	1	40	240	19	F2	0,387	2	0,0448
T1	Rht3	2011	1	40	240	19	F3	0,341	2	0,0448
T1	Rht3	2011	1	40	240	20	F1	0,494	2	0,0448
T1	Rht3	2011	1	40	240	20	F2	0,659	2	0,0448
T1	Rht3	2011	1	40	240	20	F3	0,374	2	0,0448
T1	Rht3	2011	1	80	240	1	F1	0,755	2	0,0448
T1	Rht3	2011	1	80	240	1	F2	0,571	2	0,0448
T1	Rht3	2011	1	80	240	1	F3	0,423	2	0,0448
T1	Rht3	2011	1	80	240	2	F1	0,490	2	0,0448
T1	Rht3	2011	1	80	240	2	F2	0,809	2	0,0448
