"Date","label","Rep","N","Axis","nff","HS","SSI","GL","SSIap","GLap"
"03/05/2012","Tremie12",3,30,"MS",13,13,8.16,4.84,NA,NA
"09/05/2012","Tremie12",3,30,"MS",13,13,8.57,4.43,NA,NA
"11/04/2012","Tremie12",3,30,"MS",13,NA,NA,NA,NA,NA
"12/06/2012","Tremie12",3,30,"MS",13,13,12.12,0.880000000000001,NA,NA
"16/05/2012","Tremie12",3,30,"MS",13,13,NA,NA,NA,NA
"25/05/2012","Tremie12",3,30,"MS",13,13,9.46,3.54,NA,NA
"26/04/2012","Tremie12",3,30,"MS",13,NA,7.72,NA,NA,NA
"31/05/2012","Tremie12",3,30,"MS",13,13,10.89,2.11,NA,NA
"02/07/2013","Tremie13",1,1,"MS",12,12,11.47,0.530000000000001,11.07,0.93
"03/06/2013","Tremie13",1,1,"MS",12,12,7.9,4.1,7.8,4.2
"08/07/2013","Tremie13",1,1,"MS",12,12,12,0,12,0
"11/06/2013","Tremie13",1,1,"MS",12,12,8.7,3.3,8.12,3.88
"15/07/2013","Tremie13",1,1,"MS",12,12,12,0,12,0
"17/06/2013","Tremie13",1,1,"MS",12,12,10.06,1.94,9.55,2.45
"22/05/2013","Tremie13",1,1,"MS",12,12,7.5,4.5,7.5,4.5
"24/06/2013","Tremie13",1,1,"MS",12,12,10.67,1.33,10.15,1.85
"27/05/2013","Tremie13",1,1,"MS",12,12,7.51,4.49,7.45,4.55
"02/07/2013","Tremie13",1,2,"MS",11,11,11,0,11,0
"03/06/2013","Tremie13",1,2,"MS",11,11,7.69,3.31,7.6,3.4
"08/07/2013","Tremie13",1,2,"MS",11,11,11,0,11,0
"11/06/2013","Tremie13",1,2,"MS",11,11,8.4,2.6,8.03,2.97
"15/07/2013","Tremie13",1,2,"MS",11,11,11,0,11,0
"17/06/2013","Tremie13",1,2,"MS",11,11,8.8,2.2,8.33,2.67
"22/05/2013","Tremie13",1,2,"MS",11,11,7.61,3.39,7.6,3.4
"24/06/2013","Tremie13",1,2,"MS",11,11,10.3,0.699999999999999,10.05,0.949999999999999
"27/05/2013","Tremie13",1,2,"MS",11,11,7.55,3.45,7.5,3.5
"02/07/2013","Tremie13",1,3,"MS",11,11,10.9,0.0999999999999996,10.9,0.0999999999999996
"03/06/2013","Tremie13",1,3,"MS",11,11,8.01,2.99,7.8,3.2
"08/07/2013","Tremie13",1,3,"MS",11,11,11,0,11,0
"11/06/2013","Tremie13",1,3,"MS",11,11,8.21,2.79,8.05,2.95
"15/07/2013","Tremie13",1,3,"MS",11,11,11,0,11,0
"17/06/2013","Tremie13",1,3,"MS",11,11,9.28,1.72,8.08,2.92
"22/05/2013","Tremie13",1,3,"MS",11,11,7.6,3.4,7.6,3.4
"24/06/2013","Tremie13",1,3,"MS",11,11,10.35,0.65,10.2,0.800000000000001
"27/05/2013","Tremie13",1,3,"MS",11,11,7.4,3.6,7.38,3.62
"02/07/2013","Tremie13",1,4,"MS",11,11,10.95,0.0500000000000007,10.9,0.0999999999999996
"03/06/2013","Tremie13",1,4,"MS",11,11,7.55,3.45,7.5,3.5
"08/07/2013","Tremie13",1,4,"MS",11,11,11,0,11,0
"11/06/2013","Tremie13",1,4,"MS",11,11,8.77,2.23,7.73,3.27
"15/07/2013","Tremie13",1,4,"MS",11,11,11,0,11,0
"17/06/2013","Tremie13",1,4,"MS",11,11,8.53,2.47,8.15,2.85
"22/05/2013","Tremie13",1,4,"MS",11,11,7.2,3.8,7.2,3.8
"24/06/2013","Tremie13",1,4,"MS",11,11,8.78,2.22,8.38,2.62
"27/05/2013","Tremie13",1,4,"MS",11,11,7.2,3.8,7.18,3.82
"02/07/2013","Tremie13",1,5,"MS",11,11,11,0,11,0
"03/06/2013","Tremie13",1,5,"MS",11,11,7.46,3.54,7.4,3.6
"08/07/2013","Tremie13",1,5,"MS",11,11,11,0,11,0
"11/06/2013","Tremie13",1,5,"MS",11,11,8.15,2.85,7.62,3.38
"15/07/2013","Tremie13",1,5,"MS",11,11,11,0,11,0
"17/06/2013","Tremie13",1,5,"MS",11,11,8.86,2.14,8.21,2.79
"22/05/2013","Tremie13",1,5,"MS",11,11,7.2,3.8,7.2,3.8
"24/06/2013","Tremie13",1,5,"MS",11,11,10.2,0.800000000000001,10.05,0.949999999999999
"27/05/2013","Tremie13",1,5,"MS",11,11,7.2,3.8,7.2,3.8
"02/07/2013","Tremie13",1,6,"MS",11,11,10.55,0.449999999999999,10.1,0.9
"03/06/2013","Tremie13",1,6,"MS",11,11,7.43,3.57,7.4,3.6
"08/07/2013","Tremie13",1,6,"MS",11,11,11,0,11,0
"11/06/2013","Tremie13",1,6,"MS",11,11,9.15,1.85,7.84,3.16
"15/07/2013","Tremie13",1,6,"MS",11,11,11,0,11,0
"17/06/2013","Tremie13",1,6,"MS",11,11,8.64,2.36,8.13,2.87
"22/05/2013","Tremie13",1,6,"MS",11,11,7.2,3.8,7.2,3.8
"24/06/2013","Tremie13",1,6,"MS",11,11,9.72,1.28,9.5,1.5
"27/05/2013","Tremie13",1,6,"MS",11,11,7.2,3.8,7.2,3.8
"02/07/2013","Tremie13",1,7,"MS",12,12,11.95,0.0500000000000007,11.95,0.0500000000000007
"03/06/2013","Tremie13",1,7,"MS",12,12,8.19,3.81,8,4
"08/07/2013","Tremie13",1,7,"MS",12,12,12,0,12,0
"11/06/2013","Tremie13",1,7,"MS",12,12,8.58,3.42,8.36,3.64
"15/07/2013","Tremie13",1,7,"MS",12,12,12,0,12,0
"17/06/2013","Tremie13",1,7,"MS",12,12,10.16,1.84,9.2,2.8
"22/05/2013","Tremie13",1,7,"MS",12,12,7.85,4.15,7.8,4.2
"24/06/2013","Tremie13",1,7,"MS",12,12,10.97,1.03,10.65,1.35
"27/05/2013","Tremie13",1,7,"MS",12,12,7.8,4.2,7.7,4.3
"02/07/2013","Tremie13",1,8,"MS",12,12,12,0,12,0
"03/06/2013","Tremie13",1,8,"MS",12,12,9.36,2.64,8.95,3.05
"08/07/2013","Tremie13",1,8,"MS",12,12,12,0,12,0
"11/06/2013","Tremie13",1,8,"MS",12,12,10.1,1.9,10.04,1.96
"15/07/2013","Tremie13",1,8,"MS",12,12,12,0,12,0
"17/06/2013","Tremie13",1,8,"MS",12,12,10.78,1.22,10.07,1.93
"22/05/2013","Tremie13",1,8,"MS",12,12,8.28,3.72,8.2,3.8
"24/06/2013","Tremie13",1,8,"MS",12,12,11.15,0.85,11.05,0.949999999999999
"27/05/2013","Tremie13",1,8,"MS",12,12,8.6,3.4,8.5,3.5
"02/07/2013","Tremie13",1,9,"MS",11,11,10.95,0.0500000000000007,10.95,0.0500000000000007
