"Date","label","Trt","Rep","N","Axis","Nflig","Nfvis","nff","HS","SSI","GL"
"09/06/2011","Mercia","T1+T2",3,35,"MB",12,0,12,12,9.81,2.19
"18/04/2011","Mercia","T1+T2",3,35,"MB",9,1,12,9.80575539568345,NA,NA
"19/01/2011","Mercia","T1+T2",3,35,"MB",3,1,12,3.40328177773277,0,3.40328177773277
"26/05/2011","Mercia","T1+T2",3,35,"MB",12,0,12,12,9,3
"27/04/2011","Mercia","T1+T2",3,35,"MB",11,1,12,11.2270531400966,NA,NA
"01/06/2011","Mercia","T1+T2",3,36,"MB",12,0,12,12,8.184,3.816
"09/06/2011","Mercia","T1+T2",3,36,"MB",12,0,12,12,9.45,2.55
"18/04/2011","Mercia","T1+T2",3,36,"MB",9,1,12,9.62553191489362,NA,NA
"19/01/2011","Mercia","T1+T2",3,36,"MB",3,1,12,3.33684442407044,0.03,3.30684442407044
"26/05/2011","Mercia","T1+T2",3,36,"MB",12,0,12,12,8.56,3.44
"27/04/2011","Mercia","T1+T2",3,36,"MB",11,0,12,NA,NA,NA
"01/06/2011","Rht3","T1+T2",1,1,"MB",11,0,11,11,9.045,1.955
"09/06/2011","Rht3","T1+T2",1,1,"MB",11,0,11,11,10.04,0.960000000000001
"18/04/2011","Rht3","T1+T2",1,1,"MB",9,1,11,9.3952380952381,NA,NA
"19/01/2011","Rht3","T1+T2",1,1,"MB",3,1,11,3.49133081223312,0,3.49133081223312
"26/05/2011","Rht3","T1+T2",1,1,"MB",11,0,11,11,8.22,2.78
"27/04/2011","Rht3","T1+T2",1,1,"MB",10,1,11,10.6080136950508,7.4,3.2080136950508
"01/06/2011","Rht3","T1+T2",1,2,"MB",12,0,12,12,9.053,2.947
"09/06/2011","Rht3","T1+T2",1,2,"MB",12,0,12,12,9.67,2.33
"18/04/2011","Rht3","T1+T2",1,2,"MB",9,1,12,9.86294416243655,NA,NA
"19/01/2011","Rht3","T1+T2",1,2,"MB",4,1,12,4.18719655860719,0.05,4.13719655860719
"26/05/2011","Rht3","T1+T2",1,2,"MB",12,0,12,12,8.56,3.44
"27/04/2011","Rht3","T1+T2",1,2,"MB",11,1,12,11.3313253012048,NA,NA
"01/06/2011","Rht3","T1+T2",1,3,"MB",NA,NA,NA,NA,NA,NA
"09/06/2011","Rht3","T1+T2",1,3,"MB",NA,NA,NA,NA,NA,NA
"18/04/2011","Rht3","T1+T2",1,3,"MB",8,1,NA,NA,NA,NA
"19/01/2011","Rht3","T1+T2",1,3,"MB",3,1,NA,NA,NA,NA
"26/05/2011","Rht3","T1+T2",1,3,"MB",NA,NA,NA,NA,NA,NA
"27/04/2011","Rht3","T1+T2",1,3,"MB",NA,NA,NA,NA,NA,NA
"01/06/2011","Rht3","T1+T2",1,4,"MB",NA,NA,NA,NA,NA,NA
