date;variety;image;point;x;y;slice;color;id;serie;ntop_lig
27/04/2011;Mercia;mercia_axe5.jpg;19;2044;1300;5;19;310;1;1
27/04/2011;Mercia;mercia_axe5.jpg;20;1987;1308;5;20;311;1;1
27/04/2011;Mercia;mercia_axe5.jpg;21;1932;1314;5;21;312;1;1
27/04/2011;Mercia;mercia_axe5.jpg;22;1900;1317;5;22;313;1;1
27/04/2011;Mercia;mercia_axe5.jpg;23;1859;1321;5;23;314;1;1
27/04/2011;Mercia;mercia_axe5.jpg;24;1838;1321;5;24;315;1;1
27/04/2011;Mercia;mercia_axe5.jpg;25;2135;1297;5;25;316;2;2
27/04/2011;Mercia;mercia_axe5.jpg;26;2065;1299;5;26;317;2;2
27/04/2011;Mercia;mercia_axe5.jpg;27;2005;1301;5;27;318;2;2
27/04/2011;Mercia;mercia_axe5.jpg;28;1931;1305;5;28;319;2;2
27/04/2011;Mercia;mercia_axe5.jpg;29;1859;1307;5;29;320;2;2
27/04/2011;Mercia;mercia_axe5.jpg;30;1791;1307;5;30;321;2;2
27/04/2011;Mercia;mercia_axe5.jpg;31;1703;1311;5;31;322;2;2
27/04/2011;Mercia;mercia_axe5.jpg;32;1639;1307;5;32;323;2;2
27/04/2011;Mercia;mercia_axe5.jpg;33;1557;1307;5;33;324;2;2
27/04/2011;Mercia;mercia_axe5.jpg;34;1489;1307;5;34;325;2;2
27/04/2011;Mercia;mercia_axe5.jpg;35;1425;1311;5;35;326;2;2
27/04/2011;Mercia;mercia_axe5.jpg;36;1349;1319;5;36;327;2;2
27/04/2011;Mercia;mercia_axe5.jpg;37;1259;1321;5;37;328;2;2
