id_plt,id_cohort,id_axis,N_phytomer,HS_final,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
81,6,T3,8,6.63367215301,1231.0,1831.0,6070,608,NA,410.980145627,593.14101635,868.054878282,1209.60651089
81,7,T2.0,7,5.12772503964,1114.0,1714.0,7060,707,NA,549.752746594,726.666868524,1000.41063354,1332.12461216
81,7,T4,7,4.53501040198,1114.0,1714.0,7050,707,NA,549.752746594,726.666868524,1000.41063354,1332.12461216
82,1,MS,11,11.0,NA,NA,1111,111,1.0,5.33003381463,197.556355296,676.085655248,1036.51000803
82,4,T1,8,8.0,NA,NA,4081,408,1.0,303.516009001,507.321563523,803.42336237,1185.5587771
82,5,T2,8,2.8867705819,988.0,1588.0,5030,508,NA,728.632928859,853.346963407,970.006610498,1203.84542528
82,7,T1.1,6,3.9724231699,1125.0,1725.0,7040,706,NA,547.571652765,753.971461684,1082.65450577,1469.65414749
82,7,T2.0,7,4.94912343045,1088.0,1688.0,7050,707,NA,558.628785386,735.542907316,1009.28667233,1341.00065095
83,1,MS,11,11.0,NA,NA,1111,111,1.0,-7.03122212617,185.195099355,663.724399308,1024.14875209
83,4,T1,8,8.0,NA,NA,4081,408,1.0,291.15475306,494.960307582,791.06210643,1173.19752116
83,5,T2,7,3.19946513453,1048.0,1648.0,5040,507,NA,709.590563924,852.120889122,996.92541639,1264.16977614
83,6,T1.0,7,6.43467531691,1313.0,1913.0,6070,607,NA,397.736310404,605.920162659,946.146582089,1336.49130507
84,1,MS,12,12.0,NA,NA,1121,112,1.0,-11.3729727379,164.83448862,648.853735292,979.242725338
84,4,T1,9,9.0,NA,NA,4091,409,1.0,289.297828007,470.458320915,733.659919891,1073.33584409
84,5,T2,8,3.8104837824,1060.0,1660.0,5040,508,NA,705.92284976,830.636884308,947.296531399,1181.13534618
84,6,T1.0,8,7.38904842813,1317.0,1917.0,6080,608,NA,397.146105321,579.306976044,854.220837975,1195.77247058
84,6,T3,8,7.38026498307,1316.0,1916.0,6080,608,NA,397.146105321,579.306976044,854.220837975,1195.77247058
84,7,T2.0,7,5.53988259931,1174.0,1774.0,7060,707,NA,535.918706287,712.832828217,986.576593232,1318.29057185
85,1,MS,12,12.0,NA,NA,1121,112,1.0,-11.9146714282,164.29278993,648.312036602,978.701026648
85,4,T1,9,9.0,NA,NA,4091,409,1.0,288.756129317,469.916622225,733.118221201,1072.7941454
85,5,T2,8,3.82331313241,1061.0,1661.0,5040,508,NA,705.38115107,830.095185618,946.754832709,1180.59364749
85,6,T1.0,8,7.41539876331,1320.0,1920.0,6080,608,NA,396.60440663,578.765277353,853.679139285,1195.23077189
85,6,T3,8,7.40661531825,1319.0,1919.0,6080,608,NA,396.60440663,578.765277353,853.679139285,1195.23077189
86,1,MS,11,11.0,NA,NA,1111,111,1.0,1.44037097135,193.666692453,672.195992405,1032.62034518
86,5,T2,7,2.86269469685,1018.0,1618.0,5030,507,NA,718.062157022,860.59248222,1005.39700949,1272.64136923
86,6,T3,7,5.98891548013,1255.0,1855.0,6060,607,NA,406.207903502,614.391755756,954.618175186,1344.96289816
87,1,MS,12,12.0,NA,NA,1121,112,1.0,-15.9573204362,160.250140922,644.269387594,974.65837764
87,4,T1,9,9.0,NA,NA,4091,409,1.0,284.713480309,465.873973217,729.075572193,1068.7514964
87,5,T2,9,4.24349519893,1057.0,1657.0,5050,509,NA,706.534920168,817.391839766,918.241814545,1126.09853879
87,7,T1.1,7,5.25852528368,1194.0,1794.0,7060,707,NA,531.334358589,708.248480519,981.992245534,1313.70622415
87,7,T2.0,7,5.67039915988,1193.0,1793.0,7060,707,NA,531.334358589,708.248480519,981.992245534,1313.70622415
87,7,T4,8,5.66865759426,1161.0,1761.0,7060,708,NA,539.627208054,694.427064743,942.712183701,1232.96191499
88,1,MS,11,11.0,NA,NA,1111,111,1.0,7.67243730355,199.898758785,678.428058737,1038.85241151
88,4,T1,8,8.0,NA,NA,4081,408,1.0,305.85841249,509.663967012,805.765765859,1187.90118059
88,6,T3,7,5.73529350404,1222.0,1822.0,6060,607,NA,412.439969834,620.623822089,960.850241519,1351.1949645
89,1,MS,12,12.0,NA,NA,1121,112,1.0,3.88665981446,180.094121172,664.113367844,994.50235789
89,5,T2,8,3.11769888203,1006.0,1606.0,5040,508,NA,721.182482312,845.89651686,962.556163951,1196.39497873
89,6,T3,7,6.21948091295,1285.0,1885.0,6070,607,NA,402.647119799,610.830972053,951.057391483,1341.40211446
89,7,T4,7,4.50787859391,1111.0,1711.0,7050,707,NA,551.17833884,728.09246077,1001.83622578,1333.5502044
90,1,MS,12,12.0,NA,NA,1121,112,1.0,0.970018672431,177.17748003,661.196726702,991.585716748
90,4,T1,9,9.0,NA,NA,4091,409,1.0,301.640819418,482.801312326,746.002911302,1085.6788355
90,5,T2,9,3.39194709222,998.0,1598.0,5040,509,NA,723.462259276,834.319178875,935.169153653,1143.0258779
90,6,T1.0,8,6.70393971348,1239.0,1839.0,6070,608,NA,409.489096731,591.649967454,866.563829386,1208.11546199
90,6,T3,8,6.69515626842,1238.0,1838.0,6070,608,NA,409.489096731,591.649967454,866.563829386,1208.11546199
90,7,T2.0,8,5.69539416429,1093.0,1693.0,7060,708,NA,556.554547163,711.354403852,959.639522809,1249.8892541
