index,axe,hins,rank,ranktop,plant,inerv,x,y,variety_name,side,harvest,relative_ranktop
0,MS,6.53045747056,8,6.0,9,4104,-0.0235782551528,0.00135781514967,Tremie12,1,1,1
1,MS,6.53045747056,8,6.0,9,4104,-0.0181120702111,0.424689056762,Tremie12,1,1,1
2,MS,6.53045747056,8,6.0,9,4104,-0.0126458852693,0.848020298375,Tremie12,1,1,1
3,MS,6.53045747056,8,6.0,9,4104,-0.0071797003275,1.27135153999,Tremie12,1,1,1
4,MS,6.53045747056,8,6.0,9,4104,-0.00167728415203,1.69468162735,Tremie12,1,1,1
5,MS,6.53045747056,8,6.0,9,4104,0.0198131419863,2.11750237056,Tremie12,1,1,1
6,MS,6.53045747056,8,6.0,9,4104,0.0413035681247,2.54032311377,Tremie12,1,1,1
7,MS,6.53045747056,8,6.0,9,4104,0.0636322243061,2.96309684682,Tremie12,1,1,1
8,MS,6.53045747056,8,6.0,9,4104,0.0895536671276,3.38566908693,Tremie12,1,1,1
9,MS,6.53045747056,8,6.0,9,4104,0.115475109949,3.80824132703,Tremie12,1,1,1
10,MS,6.53045747056,8,6.0,9,4104,0.14139655277,4.23081356713,Tremie12,1,1,1
11,MS,6.53045747056,8,6.0,9,4104,0.167317995592,4.65338580723,Tremie12,1,1,1
12,MS,6.53045747056,8,6.0,9,4104,0.199796069724,5.07545367085,Tremie12,1,1,1
13,MS,6.53045747056,8,6.0,9,4104,0.238810866719,5.49701868946,Tremie12,1,1,1
14,MS,6.53045747056,8,6.0,9,4104,0.277825663714,5.91858370808,Tremie12,1,1,1
15,MS,6.53045747056,8,6.0,9,4104,0.317673863025,6.34005853712,Tremie12,1,1,1
16,MS,6.53045747056,8,6.0,9,4104,0.369748412095,6.76021024858,Tremie12,1,1,1
17,MS,6.53045747056,8,6.0,9,4104,0.421822961166,7.18036196004,Tremie12,1,1,1
18,MS,6.53045747056,8,6.0,9,4104,0.473897510236,7.6005136715,Tremie12,1,1,1
19,MS,6.53045747056,8,6.0,9,4104,0.529817025919,8.02011677503,Tremie12,1,1,1
0,MS,2.84430071697,2,12.0,22,10296,-0.00684864491674,-0.0262812408788,Tremie12,1,1,7
1,MS,2.84430071697,2,12.0,22,10296,0.34180654709,0.224478474162,Tremie12,1,1,7
2,MS,2.84430071697,2,12.0,22,10296,0.690461739097,0.475238189203,Tremie12,1,1,7
3,MS,2.84430071697,2,12.0,22,10296,1.0391169311,0.725997904243,Tremie12,1,1,7
4,MS,2.84430071697,2,12.0,22,10296,1.40143665445,0.953145466659,Tremie12,1,1,7
5,MS,2.84430071697,2,12.0,22,10296,1.79256845997,1.13050608323,Tremie12,1,1,7
6,MS,2.84430071697,2,12.0,22,10296,2.18370026549,1.30786669981,Tremie12,1,1,7
7,MS,2.84430071697,2,12.0,22,10296,2.57483207101,1.48522731638,Tremie12,1,1,7
8,MS,2.84430071697,2,12.0,22,10296,2.96837009107,1.65617433378,Tremie12,1,1,7
9,MS,2.84430071697,2,12.0,22,10296,3.37964144157,1.77985438012,Tremie12,1,1,7
10,MS,2.84430071697,2,12.0,22,10296,3.79609532698,1.88074049303,Tremie12,1,1,7
11,MS,2.84430071697,2,12.0,22,10296,4.22041215044,1.94704366739,Tremie12,1,1,7
12,MS,2.84430071697,2,12.0,22,10296,4.6447289739,2.01334684175,Tremie12,1,1,7
13,MS,2.84430071697,2,12.0,22,10296,5.06904579736,2.07965001611,Tremie12,1,1,7
14,MS,2.84430071697,2,12.0,22,10296,5.49336262082,2.14595319047,Tremie12,1,1,7
15,MS,2.84430071697,2,12.0,22,10296,5.91780830832,2.21084567886,Tremie12,1,1,7
16,MS,2.84430071697,2,12.0,22,10296,6.34711541653,2.22251977156,Tremie12,1,1,7
17,MS,2.84430071697,2,12.0,22,10296,6.77642252474,2.23419386426,Tremie12,1,1,7
18,MS,2.84430071697,2,12.0,22,10296,7.20564434014,2.22178772712,Tremie12,1,1,7
19,MS,2.84430071697,2,12.0,22,10296,7.63485797749,2.20707273093,Tremie12,1,1,7
0,MS,3.36374629535,3,10.0,21,9908,-0.0206423079326,0.0172281130107,Tremie12,1,1,6
1,MS,3.36374629535,3,10.0,21,9908,0.337041417463,0.255593972922,Tremie12,1,1,6
2,MS,3.36374629535,3,10.0,21,9908,0.696069598445,0.491745890411,Tremie12,1,1,6
3,MS,3.36374629535,3,10.0,21,9908,1.07252548092,0.699199256584,Tremie12,1,1,6
4,MS,3.36374629535,3,10.0,21,9908,1.44898136339,0.906652622757,Tremie12,1,1,6
5,MS,3.36374629535,3,10.0,21,9908,1.83645050514,1.09147377489,Tremie12,1,1,6
